feature,coef
bias,5.115241355752423e+22
lat,-5.129007091835614e+20
lon,7.411688310345205e+20
capacity,-3.1512532752076493e+18
empty_slots,4.176702062294428e+16
temp_c,-8.800409687193484e+31
temp_miraflores,8.800409687193492e+31
in_miraflores,9.595586035153658e+19
hour,-8805410902724105.0
weekday,-3.016310868049807e+19
station_id_008a35afc6b4060be57b48bf90bec44c,-4.5987285012974476e+20
station_id_03367da30caea302b11c838d8b98df55,4.143673805277684e+21
station_id_06dd87a8b87232577015b1c9a4ba08ed,-6.208385134630717e+21
station_id_0927eccbf04e2aadd179595c55c52bbe,-5.452321632961197e+20
station_id_0ac132eb1a147b7b23a753185cbebd1d,8.827708169570912e+20
station_id_11c5d99df877943158c7e7c693242e26,4.5084960678773003e+21
station_id_1ff7b00c8a2af2eeb129df70939eb20b,4.962886549728372e+21
station_id_263e9a1c4f245c4070f8c85b88d0f10d,4.735951036460895e+22
station_id_3ab2451c995f47035d2b14590753236a,1.0108969718201224e+21
station_id_3c8e489aaccbcbbe87f59457fe1901d1,2.7299200498971254e+21
station_id_409c57fe8f27975938e2e0248a4d45bc,1.29913050985888e+21
station_id_4158a25459abe328f8ab8c32c0db7b6b,-2.4026665164367226e+21
station_id_438d63a7c5cb69db70e9cd6665120d61,-9.462855699658726e+21
station_id_439e3845a612d6b0a61506b0ebe52a91,6.035998111518924e+20
station_id_55c0bf37006a2c06875866c6e9e13156,3.14955409020572e+20
station_id_57ded81c72e11e6fc644698ee200d750,-1.5172899449433303e+21
station_id_5b7914e3a19e2d392967c8ff9a1eeb5e,-2.7659433925063255e+21
station_id_6369e20f974a82f599ac39793a9ceeef,2.686121099111696e+23
station_id_6483875f7b7770a47a79c18bb17bc54e,-2.6952603772477967e+21
station_id_66ba95532fd0758049c624f5a08d8e4d,-4.867838916798665e+21
station_id_6769076dbc301448af071082f5822f8c,2.5819668708789327e+21
station_id_696787ac674aad03dc56a790f1f9e6ed,1.2645103282249167e+21
station_id_6b34990c05dc96c8251a0a369cb69401,-6.792648858194491e+20
station_id_6cc6c7fa220969e769d6ade973d20fc4,-3.039186520474906e+21
station_id_717d52e93633ac970c25753f96d12d57,1.298803568360599e+21
station_id_73f1bdfa0b91640c04cf7d4d17ec9bd7,-5.100279503065392e+21
station_id_7445571ff483b34f2e41c478e6d83588,4.889997052310781e+21
